Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"4","'012","Algeria","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","9018.426000","9269.864000","9521.207000","9772.645000","10014.381000","10247.424000","10482.182000","10717.501000","10953.639000","11189.622000","11424.922000","11628.883000","11800.771000","11982.118000","12179.813000","12365.976000","12590.069000","12876.118000","13172.614000","13475.960000","13783.719000","14098.936000","14427.072000","14771.147000","15133.502000","15678.596000","16409.170000","17015.994000","17506.974000","18036.655000","18607.174000","19220.704000","19872.348000","20558.116000","21271.969000","22008.544000","22745.499000","23443.624000","24109.536000","24754.485000","25375.810000","25987.928000","26628.568000","27277.048000","27887.278000","28470.191000","29033.044000","29579.301000","30054.133000","30474.354000","30903.893000","31331.222000","31750.835000","32175.818000","32628.286000","33109.249000","33623.506000","34189.416000","34816.961000","35490.445000","36188.236000","36903.376000","37646.166000","38414.171000","39205.031000","40019.529000","40850.721000","41689.299000","42505.035000","43294.546000","44042.091000","44761.099000","45477.389000","46164.219000","46814.308000","47435.312000","48028.334000","48593.408000","49135.522000","49655.378000","50154.166000","50637.358000","51113.495000","51584.240000","52048.003000","52516.789000","52986.267000","53452.776000","53921.846000","54396.252000","54873.476000","55351.988000","55834.555000","56319.592000","56806.178000","57290.156000","57767.666000","58234.170000","58690.885000","59136.158000","59565.554000","59975.606000","60357.127000","60714.899000","61054.230000","61368.719000","61662.094000","61929.849000","62171.440000","62392.707000","62589.958000","62763.870000","62925.695000","63074.913000","63211.556000","63340.462000","63457.815000","63567.476000","63671.455000","63770.662000","63858.952000","63949.916000","64051.596000","64149.758000","64245.958000","64342.159000","64431.152000","64514.920000","64597.243000","64675.918000","64750.726000","64815.573000","64870.707000","64921.815000","64969.834000","65014.716000","65055.632000","65087.129000","65107.986000","65115.448000","65115.474000","65105.744000","65081.097000","65052.821000","65010.260000","64951.512000","64882.626000","64802.067000","64709.156000","64602.941000","64487.527000"
"4","'012","Algeria","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","4612.831000","4738.417000","4864.186000","4990.251000","5107.085000","5215.206000","5324.461000","5434.264000","5544.729000","5655.352000","5765.859000","5876.170000","5986.356000","6105.998000","6241.999000","6377.641000","6512.386000","6657.199000","6807.720000","6961.928000","7118.514000","7278.887000","7445.681000","7620.327000","7803.948000","8087.809000","8476.719000","8794.103000","9041.577000","9309.758000","9599.575000","9912.513000","10246.235000","10599.379000","10968.693000","11350.883000","11733.255000","12092.639000","12433.629000","12762.969000","13078.798000","13389.418000","13717.908000","14054.100000","14370.988000","14674.879000","14970.667000","15260.837000","15505.040000","15712.154000","15925.099000","16136.100000","16342.427000","16551.159000","16774.177000","17011.031000","17264.374000","17545.718000","17861.444000","18202.087000","18554.453000","18914.428000","19287.278000","19672.215000","20068.366000","20476.384000","20894.164000","21316.232000","21724.796000","22118.792000","22490.324000","22848.428000","23206.875000","23549.234000","23874.384000","24186.840000","24484.793000","24768.242000","25039.748000","25299.634000","25548.446000","25789.026000","26025.756000","26259.492000","26489.445000","26721.769000","26954.273000","27185.105000","27417.118000","27651.790000","27887.902000","28124.679000","28363.566000","28603.836000","28845.027000","29085.039000","29321.933000","29553.409000","29780.194000","30001.442000","30214.909000","30418.852000","30608.510000","30786.327000","30955.088000","31111.550000","31257.632000","31391.026000","31511.479000","31622.003000","31720.658000","31807.814000","31889.210000","31964.580000","32033.972000","32099.787000","32159.994000","32216.535000","32270.472000","32322.214000","32368.564000","32416.496000","32470.062000","32521.918000","32572.891000","32624.001000","32671.425000","32716.103000","32760.049000","32802.130000","32842.184000","32877.101000","32906.985000","32934.792000","32960.957000","32985.389000","33007.688000","33025.007000","33036.749000","33041.459000","33042.090000","33037.488000","33024.953000","33010.212000","32987.749000","32956.626000","32920.067000","32877.274000","32827.897000","32771.490000","32710.191000"
"4","'012","Algeria","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","4405.596000","4531.447000","4657.020000","4782.395000","4907.296000","5032.217000","5157.721000","5283.236000","5408.910000","5534.270000","5659.063000","5752.713000","5814.414000","5876.120000","5937.814000","5988.335000","6077.683000","6218.919000","6364.894000","6514.032000","6665.206000","6820.049000","6981.391000","7150.820000","7329.554000","7590.788000","7932.451000","8221.890000","8465.397000","8726.896000","9007.599000","9308.191000","9626.113000","9958.736000","10303.276000","10657.661000","11012.243000","11350.985000","11675.906000","11991.516000","12297.012000","12598.509000","12910.659000","13222.949000","13516.290000","13795.311000","14062.378000","14318.463000","14549.093000","14762.200000","14978.794000","15195.121000","15408.407000","15624.659000","15854.109000","16098.219000","16359.132000","16643.697000","16955.518000","17288.358000","17633.783000","17988.948000","18358.888000","18741.956000","19136.664000","19543.144000","19956.557000","20373.068000","20780.238000","21175.753000","21551.767000","21912.671000","22270.515000","22614.984000","22939.924000","23248.472000","23543.540000","23825.165000","24095.775000","24355.745000","24605.719000","24848.332000","25087.738000","25324.749000","25558.558000","25795.020000","26031.994000","26267.671000","26504.729000","26744.462000","26985.574000","27227.309000","27470.989000","27715.757000","27961.152000","28205.118000","28445.733000","28680.761000","28910.692000","29134.716000","29350.646000","29556.754000","29748.617000","29928.571000","30099.142000","30257.170000","30404.462000","30538.823000","30659.961000","30770.704000","30869.300000","30956.056000","31036.485000","31110.334000","31177.585000","31240.675000","31297.821000","31350.942000","31400.983000","31448.448000","31490.388000","31533.420000","31581.535000","31627.840000","31673.068000","31718.158000","31759.727000","31798.818000","31837.194000","31873.787000","31908.541000","31938.472000","31963.722000","31987.023000","32008.877000","32029.328000","32047.945000","32062.122000","32071.237000","32073.988000","32073.384000","32068.256000","32056.144000","32042.609000","32022.512000","31994.886000","31962.558000","31924.793000","31881.258000","31831.450000","31777.337000"
"4","'012","Algeria","3010","Population - Est. & Proj.","551","Rural population","1000 No","6901.437000","6963.871000","7028.785000","7099.006000","7175.692000","7259.327000","7349.113000","7443.807000","7540.693000","7637.146000","7730.650000","7778.402000","7807.347000","7830.819000","7852.062000","7873.830000","7938.777000","8145.491000","8360.800000","8580.832000","8802.831000","9026.154000","9252.206000","9483.118000","9721.724000","9970.336000","10228.730000","10449.894000","10600.642000","10756.471000","10917.731000","11084.665000","11254.255000","11423.111000","11586.475000","11741.505000","11885.696000","12025.355000","12169.977000","12300.970000","12415.865000","12514.727000","12596.547000","12659.779000","12700.801000","12718.634000","12713.484000","12688.632000","12645.977000","12577.656000","12498.847000","12411.940000","12317.847000","12221.443000","12127.441000","12040.491000","11959.903000","11885.693000","11818.949000","11765.339000","11723.941000","11695.477000","11677.502000","11664.030000","11647.651000","11623.281000","11589.537000","11547.532000","11498.038000","11442.587000","11382.345000","11317.455000","11247.753000","11173.795000","11096.219000","11015.670000","10932.651000","10847.750000","10761.805000","10675.733000","10590.338000","10506.138000","10423.650000","10343.669000","10267.195000","10188.808000","10109.198000","10028.524000","9947.004000","9864.810000","9782.045000","9698.762000","9614.926000","9530.399000","9444.982000","9358.492000","9270.893000","9182.087000","9091.762000","8999.553000","8905.205000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","'012","Algeria","3010","Population - Est. & Proj.","561","Urban population","1000 No","1970.810000","2076.039000","2187.612000","2306.437000","2433.813000","2570.392000","2716.709000","2872.481000","3037.756000","3211.827000","3394.238000","3626.457000","3882.806000","4154.317000","4443.908000","4753.122000","5041.490000","5208.706000","5383.587000","5563.606000","5747.203000","5933.955000","6124.887000","6321.310000","6525.389000","6738.763000","6961.509000","7240.290000","7611.684000","8004.290000","8419.984000","8858.999000","9321.446000","9805.178000","10307.378000","10824.400000","11355.576000","11892.542000","12421.515000","12956.702000","13496.502000","14039.602000","14584.547000","15126.480000","15661.452000","16185.664000","16697.931000","17198.207000","17689.755000","18187.957000","18684.813000","19180.213000","19677.199000","20182.071000","20703.655000","21247.946000","21818.012000","22414.383000","23041.766000","23700.421000","24393.696000","25124.081000","25888.345000","26674.532000","27465.662000","28248.247000","29016.515000","29770.610000","30510.016000","31236.431000","31950.910000","32651.848000","33336.714000","34005.054000","34656.776000","35291.973000","35910.412000","36512.258000","37098.681000","37671.319000","38231.625000","38780.147000","39317.404000","39844.784000","40363.725000","40881.593000","41398.648000","41915.197000","42431.832000","42949.020000","43466.952000","43985.637000","44504.667000","45023.131000","45539.761000","46053.277000","46563.029000","47068.037000","47566.123000","48054.678000","48531.498000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","4551.869000","4602.561000","4651.688000","4706.359000","4766.717000","4832.764000","4904.270000","4980.642000","5061.134000","5145.102000","5231.654000","5301.583000","5354.310000","5408.320000","5464.187000","5521.981000","5581.386000","5641.807000","5702.699000","5763.685000","5852.788000","5991.102000","6174.262000","6388.528000","6613.367000","6842.947000","7074.664000","7317.829000","7576.734000","7847.207000","8133.872000","8435.607000","8751.648000","9082.983000","9425.917000","9779.120000","10139.450000","10497.858000","10861.291000","11238.562000","11626.360000","12023.529000","12423.712000","12827.135000","13249.764000","13699.778000","14170.973000","14660.413000","15159.370000","15667.235000","16194.869000","16747.208000","17327.699000","17943.712000","18600.423000","19291.161000","20015.279000","20778.562000","21578.655000","22414.773000","23294.825000","24218.352000","25177.394000","26165.620000","27160.769000","28157.798000","29183.070000","30234.839000","31297.155000","32375.632000","33451.132000","34532.429000","35635.029000","36749.906000","37885.849000","39040.038000","40215.180000","41415.124000","42641.676000","43891.851000","45160.458000","46449.964000","47759.510000","49091.474000","50447.455000","51821.718000","53215.939000","54625.871000","56053.780000","57501.916000","58965.322000","60441.178000","61927.914000","63430.878000","64945.298000","66464.329000","68000.598000","69554.170000","71118.784000","72701.385000","74295.394000","75892.826000","77501.966000","79123.458000","80752.716000","82392.220000","84032.204000","85679.410000","87336.039000","88991.591000","90647.914000","92310.988000","93969.991000","95625.117000","97282.779000","98933.230000","100578.469000","102219.413000","103858.186000","105498.663000","107137.076000","108767.796000","110391.405000","112014.399000","113630.808000","115220.841000","116788.430000","118356.154000","119925.101000","121471.112000","123012.399000","124542.887000","126039.002000","127515.736000","128986.053000","130454.011000","131908.573000","133334.695000","134748.103000","136163.364000","137556.711000","138919.849000","140249.378000","141550.054000","142835.147000","144102.524000","145340.832000","146549.586000","147743.369000","148912.810000","150045.575000"
"7","'024","Angola","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","2218.912000","2252.490000","2287.081000","2324.298000","2364.035000","2406.246000","2450.894000","2497.735000","2546.499000","2597.028000","2649.099000","2690.648000","2721.243000","2752.564000","2784.881000","2818.211000","2852.359000","2887.186000","2922.523000","2958.206000","3001.952000","3064.286000","3149.294000","3250.028000","3356.153000","3464.328000","3573.135000","3687.623000","3810.101000","3938.443000","4074.944000","4219.016000","4370.267000","4528.522000","4691.934000","4860.528000","5032.793000","5202.876000","5374.561000","5553.615000","5738.038000","5928.501000","6120.976000","6311.837000","6510.836000","6728.958000","6962.184000","7204.542000","7450.239000","7697.722000","7955.060000","8225.203000","8509.854000","8814.938000","9141.912000","9486.138000","9847.394000","10228.480000","10627.960000","11045.400000","11484.638000","11945.063000","12422.551000","12914.239000","13409.269000","13905.216000","14415.388000","14938.928000","15467.791000","16004.756000","16539.639000","17077.372000","17626.416000","18181.690000","18747.466000","19322.247000","19907.353000","20504.721000","21115.214000","21737.337000","22368.430000","23009.738000","23660.919000","24323.146000","24997.164000","25680.092000","26372.808000","27073.170000","27782.307000","28501.337000","29227.768000","29960.223000","30697.864000","31443.307000","32194.152000","32946.933000","33707.969000","34477.309000","35251.815000","36034.954000","36823.406000","37613.202000","38408.523000","39209.668000","40014.229000","40823.441000","41632.404000","42444.514000","43260.791000","44075.930000","44890.993000","45708.943000","46524.291000","47337.238000","48151.029000","48960.701000","49767.268000","50571.158000","51373.529000","52176.293000","52977.511000","53774.465000","54567.359000","55359.438000","56147.752000","56922.426000","57685.448000","58448.101000","59210.956000","59961.899000","60710.041000","61452.304000","62176.873000","62891.370000","63602.491000","64312.348000","65015.373000","65704.068000","66386.462000","67069.807000","67742.137000","68399.531000","69040.364000","69667.073000","70286.323000","70897.049000","71493.527000","72075.559000","72650.608000","73213.932000","73759.334000"
"7","'024","Angola","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","2332.956000","2350.072000","2364.607000","2382.061000","2402.682000","2426.518000","2453.376000","2482.907000","2514.635000","2548.075000","2582.555000","2610.936000","2633.066000","2655.756000","2679.307000","2703.771000","2729.028000","2754.621000","2780.177000","2805.479000","2850.836000","2926.816000","3024.968000","3138.500000","3257.214000","3378.619000","3501.530000","3630.206000","3766.633000","3908.764000","4058.927000","4216.591000","4381.382000","4554.461000","4733.984000","4918.592000","5106.656000","5294.982000","5486.730000","5684.947000","5888.322000","6095.028000","6302.736000","6515.297000","6738.928000","6970.819000","7208.789000","7455.870000","7709.131000","7969.512000","8239.809000","8522.004000","8817.845000","9128.774000","9458.512000","9805.023000","10167.885000","10550.082000","10950.695000","11369.373000","11810.188000","12273.289000","12754.843000","13251.380000","13751.501000","14252.583000","14767.683000","15295.910000","15829.363000","16370.877000","16911.494000","17455.057000","18008.612000","18568.216000","19138.383000","19717.792000","20307.826000","20910.404000","21526.462000","22154.514000","22792.028000","23440.227000","24098.590000","24768.327000","25450.291000","26141.626000","26843.131000","27552.701000","28271.472000","29000.579000","29737.553000","30480.956000","31230.050000","31987.570000","32751.147000","33517.395000","34292.629000","35076.861000","35866.969000","36666.431000","37471.989000","38279.624000","39093.442000","39913.789000","40738.487000","41568.779000","42399.800000","43234.897000","44075.248000","44915.662000","45756.921000","46602.045000","47445.700000","48287.878000","49131.750000","49972.529000","50811.202000","51648.255000","52484.656000","53322.370000","54159.565000","54993.331000","55824.046000","56654.961000","57483.056000","58298.416000","59102.982000","59908.053000","60714.145000","61509.214000","62302.358000","63090.584000","63862.129000","64624.365000","65383.562000","66141.663000","66893.200000","67630.626000","68361.641000","69093.557000","69814.573000","70520.318000","71209.015000","71882.981000","72548.825000","73205.475000","73847.305000","74474.027000","75092.761000","75698.877000","76286.240000"
"7","'024","Angola","3010","Population - Est. & Proj.","551","Rural population","1000 No","4203.480000","4294.716000","4388.622000","4482.215000","4573.307000","4660.643000","4743.836000","4823.431000","4900.578000","4977.004000","5054.340000","5131.827000","5208.822000","5285.268000","5358.612000","5427.632000","5491.687000","5552.756000","5614.898000","5683.670000","5762.850000","5844.414000","5927.379000","6018.125000","6113.891000","6212.964000","6313.557000","6416.307000","6523.175000","6637.417000","6760.090000","6892.975000","7032.139000","7168.478000","7290.191000","7390.475000","7465.255000","7518.672000","7559.702000","7601.294000","7650.444000","7710.281000","7776.001000","7839.762000","7889.542000","7966.516000","8024.426000","8068.783000","8107.209000","8150.772000","8206.100000","8275.248000","8353.851000","8438.128000","8522.221000","8603.118000","8760.700000","8918.911000","9077.515000","9237.545000","9398.277000","9559.614000","9720.169000","9878.943000","10033.109000","10183.560000","10329.860000","10472.554000","10612.667000","10751.626000","10890.448000","11029.326000","11168.041000","11306.633000","11445.063000","11583.321000","11721.508000","11859.747000","11998.077000","12136.530000","12275.150000","12414.006000","12553.183000","12692.750000","12832.792000","12973.415000","13114.781000","13257.086000","13400.549000","13545.503000","13692.603000","13835.116000","13973.491000","14107.557000","14237.148000","14362.123000","14482.365000","14597.782000","14708.306000","14813.887000","14914.474000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","'024","Angola","3010","Population - Est. & Proj.","561","Urban population","1000 No","344.543000","364.617000","385.939000","408.254000","431.456000","455.428000","480.167000","505.668000","532.139000","559.775000","588.842000","621.197000","657.239000","695.149000","734.709000","775.667000","818.083000","862.239000","908.893000","958.962000","1013.531000","1082.855000","1167.455000","1259.835000","1360.447000","1469.515000","1587.440000","1714.681000","1852.972000","2004.104000","2169.810000","2351.532000","2550.017000","2763.084000","2987.130000","3218.567000","3455.782000","3699.596000","3954.266000","4225.943000","4520.997000","4843.165000","5192.344000","5563.972000","5951.759000","6302.478000","6657.858000","7020.198000","7397.109000","7798.994000","8234.824000","8708.018000","9218.798000","9765.241000","10343.495000","10949.424000","11501.699000","12078.776000","12681.905000","13312.002000","13970.854000","14658.951000","15375.981000","16119.397000","16887.357000","17675.745000","18483.603000","19311.639000","20161.538000","21035.940000","21936.953000","22865.158000","23820.261000","24802.445000","25811.665000","26847.887000","27911.269000","29001.994000","30119.989000","31265.100000","32437.132000","33635.882000","34861.101000","36112.409000","37389.363000","38691.449000","40018.172000","41368.933000","42742.931000","44139.178000","45556.399000","47000.838000","48471.579000","49968.173000","51490.145000","53037.025000","54608.399000","56203.877000","57823.115000","59465.799000","61131.579000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
