iter	Logloss
0	0.6902891759
1	0.688088799
2	0.6854926608
3	0.6829735463
4	0.6808722509
5	0.678885852
6	0.6761697292
7	0.673583517
8	0.6718905695
9	0.6696864068
10	0.6675589396
11	0.6655779828
12	0.6630681869
13	0.6606637264
14	0.6586164627
15	0.6566588358
16	0.6549752086
17	0.6531688868
18	0.6512335641
19	0.6487643645
20	0.6467900417
21	0.6451297036
22	0.6431819792
23	0.6417030605
24	0.6401753269
25	0.6381781899
26	0.6357623268
27	0.6343204756
28	0.6326166466
29	0.6311646261
30	0.6298185502
31	0.6284903597
32	0.6267748193
33	0.6251656934
34	0.6237071253
35	0.6222732948
36	0.6208313435
37	0.6193804633
38	0.6178357074
39	0.6163732069
40	0.6151679796
41	0.6139720576
42	0.6124376738
43	0.6112087734
44	0.6101643452
45	0.6087881499
46	0.607651473
47	0.6064078605
48	0.6052152421
49	0.6040540951
50	0.6027358519
51	0.6012566829
52	0.5999732647
53	0.5987901279
54	0.5974794559
55	0.5964504085
56	0.5952412302
57	0.5942457883
58	0.593081158
59	0.5915977358
60	0.5899305655
61	0.5888545713
62	0.5878072926
63	0.5867170474
64	0.5856839403
65	0.5848118776
66	0.5837868815
67	0.5827820938
68	0.5819188666
69	0.5811020312
70	0.5802128309
71	0.5793132366
72	0.5781754328
73	0.577350307
74	0.5765105014
75	0.5756839878
76	0.5747491913
77	0.5740176455
78	0.5731250975
79	0.5721822968
80	0.5716146758
81	0.5707756764
82	0.5700919467
83	0.5693058701
84	0.5683330728
85	0.567525732
86	0.566808897
87	0.5660336725
88	0.5653129895
89	0.564464986
90	0.5638143421
91	0.5630166427
92	0.5622138139
93	0.5614237925
94	0.5609514092
95	0.5601593903
96	0.5595824368
97	0.5588316241
98	0.5581050135
99	0.5573648311
100	0.5567789658
101	0.5560526548
102	0.5553603468
103	0.5548306227
104	0.554202811
105	0.5536035211
106	0.5529508714
107	0.5520687497
108	0.5511771185
109	0.5503938612
110	0.5496515628
111	0.5490083808
112	0.5484126595
113	0.5476723712
114	0.5471151519
115	0.5466966108
116	0.5460064173
117	0.5454042558
118	0.5448019087
119	0.5443557482
120	0.5439458846
121	0.5433220585
122	0.542490392
123	0.5420200781
124	0.5415065491
125	0.540793093
126	0.5403571251
127	0.5398491841
128	0.5395549614
129	0.5391165507
130	0.5386724415
131	0.5380233139
132	0.5375316136
133	0.5369802785
134	0.5363147782
135	0.5357742886
136	0.5352308402
137	0.5346874411
138	0.5340427011
139	0.5337123266
140	0.533333975
141	0.5327668343
142	0.5324126345
143	0.5316262044
144	0.5309972525
145	0.5305338966
146	0.5299059441
147	0.5294792068
148	0.5290135941
149	0.5284000588
150	0.5279661594
151	0.5273128716
152	0.5265784223
153	0.5260839207
154	0.5257669079
155	0.5252397014
156	0.5247735468
157	0.5241359607
158	0.523676288
159	0.5233696031
160	0.5230488985
161	0.5227132177
162	0.5223861484
163	0.5219994218
164	0.5215694974
165	0.5212548777
166	0.5204738575
167	0.5202034
168	0.5197326169
169	0.5191741322
170	0.5187135769
171	0.5180837669
172	0.5177683256
173	0.5175259264
174	0.517071176
175	0.5166855563
176	0.5161901534
177	0.5156384788
178	0.5153369072
179	0.5149685164
180	0.5146202743
181	0.5142904874
182	0.5139629301
183	0.513523156
184	0.5130072816
185	0.5122144487
186	0.5117851968
187	0.5113390706
188	0.5109342512
189	0.5107370167
190	0.5103033708
191	0.5098096416
192	0.5093605295
193	0.5091255013
194	0.5087954572
195	0.5083401338
196	0.5078937817
197	0.5075372809
198	0.5071671395
199	0.5065193265
200	0.5061892894
201	0.506003395
202	0.5056364111
203	0.5052626024
204	0.5046571819
205	0.5043580751
206	0.5039836191
207	0.5036687683
208	0.5032020927
209	0.5027559
210	0.5023838877
211	0.5020452049
212	0.5017502519
213	0.5012590732
214	0.5008581999
215	0.5004325071
216	0.4999695251
217	0.4994984157
218	0.4991748738
219	0.4988956235
220	0.4985842945
221	0.4980551672
222	0.4976673132
223	0.4973075836
224	0.4970478441
225	0.4967851461
226	0.4963120678
227	0.4960880023
228	0.4957884492
229	0.4954802906
230	0.4951561786
231	0.4947547448
232	0.4944484182
233	0.4940192763
234	0.4937086974
235	0.4933620464
236	0.493044686
237	0.4927416992
238	0.4924253853
239	0.492178965
240	0.4916826868
241	0.4913251468
242	0.4909766535
243	0.4907894329
244	0.4904005125
245	0.4900380308
246	0.4897673173
247	0.4894867135
248	0.4890854214
249	0.4888098916
250	0.4884700056
251	0.4881212756
252	0.4875789908
253	0.4872622253
254	0.4869178292
255	0.4865031928
256	0.486154704
257	0.4858416828
258	0.485422578
259	0.4851255222
260	0.4847956601
261	0.4845981378
262	0.4841258996
263	0.4838171175
264	0.4836557814
265	0.4830074388
266	0.4826057718
267	0.4822916044
268	0.4819860702
269	0.4815880104
270	0.481225352
271	0.4809911414
272	0.4806600187
273	0.4803760136
274	0.4801256411
275	0.4798807838
276	0.4795896978
277	0.4791082298
278	0.4787955649
279	0.4783421652
280	0.4781285235
281	0.4778413342
282	0.4774122034
283	0.4771846889
284	0.4768595655
285	0.4766047794
286	0.4762123057
287	0.4760050797
288	0.4757239201
289	0.4754143324
290	0.4749603123
291	0.4747041658
292	0.4744263421
293	0.4740800485
294	0.4736580677
295	0.4734945384
296	0.4732596822
297	0.4729345416
298	0.4727659479
299	0.4725331887
300	0.4720241643
301	0.4714954966
302	0.4711581395
303	0.4709631666
304	0.4706091771
305	0.4703005854
306	0.46992478
307	0.4697023938
308	0.4691597213
309	0.4688214424
310	0.46863729
311	0.4683810008
312	0.4678192486
313	0.4674873044
314	0.4671077128
315	0.4666311172
316	0.4664602494
317	0.466104593
318	0.4658420617
319	0.4654338858
320	0.465183159
321	0.4648402696
322	0.4644222903
323	0.4640351119
324	0.4635283435
325	0.4632593501
326	0.4631261193
327	0.4627918261
328	0.4625054418
329	0.4622736148
330	0.4617987444
331	0.4614474204
332	0.4609355512
333	0.4607174614
334	0.4602561596
335	0.4599185952
336	0.4596342189
337	0.4593669206
338	0.4591117846
339	0.4587185002
340	0.45835029
341	0.4579495107
342	0.4577680018
343	0.4573369371
344	0.4568170905
345	0.4565448744
346	0.4562712419
347	0.4560714986
348	0.4556896239
349	0.4553436753
350	0.455009503
351	0.4547088845
352	0.4543930116
353	0.4541418967
354	0.4537545725
355	0.453303165
356	0.4529555725
357	0.4528068535
358	0.4525212555
359	0.4520880885
360	0.4515057045
361	0.4512056877
362	0.4510314087
363	0.4507408016
364	0.4504277175
365	0.4500078011
366	0.4497596765
367	0.4495440829
368	0.4491847452
369	0.4487102327
370	0.4484722864
371	0.4481670904
372	0.4479611834
373	0.4476912925
374	0.4472754859
375	0.4470809867
376	0.4468397377
377	0.4465546002
378	0.4463270768
379	0.4460853865
380	0.445612249
381	0.4454415343
382	0.4452813887
383	0.4449027787
384	0.4446302705
385	0.4443027394
386	0.4442036942
387	0.4439330178
388	0.4438580161
389	0.4437212032
390	0.4435055018
391	0.4433832375
392	0.4431213871
393	0.4427791909
394	0.4425498354
395	0.4422043149
396	0.4419381263
397	0.4417907604
398	0.4416136457
399	0.4412733547
400	0.4409726678
401	0.4406455388
402	0.4403383101
403	0.4399028505
404	0.4396976949
405	0.4393769829
406	0.4392465362
407	0.4389400255
408	0.4386697125
409	0.4384495219
410	0.4380101877
411	0.4377584293
412	0.4374961751
413	0.4372650057
414	0.4370250741
415	0.4366681222
416	0.4364130918
417	0.4361742813
418	0.4359376417
419	0.4356818547
420	0.4353504601
421	0.4350827844
422	0.4349473873
423	0.4347843305
424	0.4345283147
425	0.4342486385
426	0.4341045203
427	0.4338233648
428	0.4336140087
429	0.4333278175
430	0.4330870299
431	0.4327332411
432	0.4323780046
433	0.432152499
434	0.4317567407
435	0.4315213668
436	0.431356667
437	0.4310332296
438	0.4306293587
439	0.4303812351
440	0.4301467457
441	0.4298326242
442	0.4295636231
443	0.4292043329
444	0.4289013319
445	0.4286866216
446	0.4285251602
447	0.4282855932
448	0.4280902846
449	0.4278826977
450	0.4277288204
451	0.427516123
452	0.4272204417
453	0.4268996409
454	0.4265943884
455	0.4263351198
456	0.4260455241
457	0.4257071034
458	0.4255213793
459	0.4253002699
460	0.4250929503
461	0.4247692988
462	0.4245285119
463	0.4242532369
464	0.4240576527
465	0.4238248805
466	0.4235096936
467	0.4230210087
468	0.4227751543
469	0.422528196
470	0.422272386
471	0.4220951593
472	0.421888372
473	0.4216616151
474	0.4213296289
475	0.4212143599
476	0.4210305974
477	0.4205311138
478	0.4203613327
479	0.4201942308
480	0.4199499692
481	0.4197715694
482	0.419550145
483	0.4191694134
484	0.418931175
485	0.4187365778
486	0.4184703317
487	0.4182492404
488	0.4180920758
489	0.4178920361
490	0.4175498564
491	0.4171872703
492	0.4167850803
493	0.4165227299
494	0.416367303
495	0.4161282341
496	0.4159227398
497	0.4157280892
498	0.4153667566
499	0.4151937227
