iter	Passed	Remaining
0	4	2382
1	8	2228
2	13	2221
3	16	2015
4	32	3235
5	35	2922
6	37	2657
7	40	2467
8	42	2298
9	44	2159
10	46	2050
11	48	1955
12	50	1885
13	52	1823
14	54	1765
15	56	1714
16	58	1668
17	60	1630
18	63	1596
19	66	1588
20	68	1572
21	71	1562
22	74	1535
23	76	1513
24	78	1492
25	80	1469
26	83	1455
27	85	1438
28	87	1419
29	89	1403
30	91	1385
31	93	1372
32	95	1356
33	97	1342
34	100	1330
35	102	1316
36	104	1303
37	106	1289
38	108	1279
39	110	1266
40	112	1255
41	114	1246
42	116	1242
43	119	1234
44	121	1224
45	123	1214
46	125	1204
47	127	1196
48	129	1187
49	131	1182
50	133	1176
51	135	1171
52	138	1163
53	140	1156
54	142	1150
55	144	1145
56	146	1142
57	149	1139
58	151	1133
59	153	1126
60	155	1121
61	157	1115
62	159	1107
63	161	1101
64	164	1101
65	166	1096
66	168	1090
67	170	1085
68	173	1083
69	175	1079
70	178	1077
71	180	1073
72	182	1068
73	184	1063
74	186	1058
75	188	1052
76	190	1048
77	192	1043
78	195	1040
79	197	1035
80	199	1030
81	201	1026
82	203	1022
83	206	1020
84	208	1018
85	211	1018
86	214	1016
87	216	1012
88	218	1007
89	220	1003
90	222	999
91	224	996
92	227	993
93	229	989
94	231	986
95	233	983
96	235	978
97	237	975
98	240	972
99	242	970
100	245	969
101	247	965
102	249	961
103	251	957
104	253	954
105	255	950
106	257	946
107	260	943
108	262	941
109	264	938
110	266	934
111	268	931
112	271	928
113	273	925
114	275	922
115	277	918
116	279	914
117	281	911
118	283	908
119	285	904
120	287	900
121	289	896
122	291	894
123	293	891
124	296	888
125	298	885
126	300	881
127	302	878
128	304	874
129	306	872
130	308	870
131	311	867
132	312	863
133	314	860
134	316	856
135	318	853
136	321	850
137	323	847
138	325	845
139	328	844
140	330	841
141	332	839
142	334	836
143	336	832
144	339	830
145	341	827
146	343	824
147	345	821
148	347	818
149	349	815
150	351	812
151	353	809
152	356	809
153	359	808
154	361	805
155	364	803
156	366	800
157	368	797
158	370	794
159	372	792
160	374	788
161	376	786
162	378	782
163	381	781
164	383	778
165	385	775
166	387	773
167	390	771
168	392	768
169	394	765
170	396	762
171	398	760
172	400	757
173	403	755
174	405	753
175	408	751
176	410	748
177	412	745
178	414	743
179	417	741
180	419	739
181	421	736
182	423	734
183	425	731
184	427	728
185	429	725
186	431	722
187	434	720
188	436	718
189	438	716
190	441	714
191	443	711
192	445	709
193	448	707
194	451	705
195	453	703
196	456	701
197	458	699
198	460	697
199	463	695
200	465	693
201	468	691
202	471	689
203	474	688
204	477	686
205	479	684
206	481	682
207	484	680
208	487	678
209	489	675
210	491	673
211	494	671
212	497	669
213	499	668
214	502	666
215	505	664
216	507	661
217	509	659
218	512	657
219	515	655
220	518	654
221	520	652
222	523	649
223	525	647
224	528	645
225	530	643
226	534	642
227	536	640
228	539	638
229	541	636
230	544	633
231	546	631
232	549	629
233	551	627
234	554	625
235	556	623
236	559	621
237	562	619
238	565	617
239	568	615
240	570	613
241	573	611
242	575	608
243	578	606
244	580	604
245	583	602
246	585	600
247	588	598
248	591	596
249	594	594
250	597	592
251	600	590
252	602	588
253	605	585
254	607	583
255	610	581
256	612	579
257	615	576
258	617	574
259	620	572
260	623	570
261	625	568
262	628	566
263	631	564
264	633	562
265	637	560
266	639	558
267	642	555
268	645	554
269	648	552
270	651	550
271	653	547
272	656	545
273	659	543
274	662	541
275	664	539
276	667	537
277	669	534
278	671	532
279	674	529
280	677	527
281	679	525
282	682	523
283	684	520
284	687	518
285	689	516
286	692	513
287	695	511
288	697	509
289	700	507
290	703	505
291	706	502
292	709	500
293	712	498
294	714	496
295	717	494
296	719	492
297	722	489
298	725	487
299	728	485
300	730	483
301	733	480
302	735	478
303	738	475
304	741	474
305	744	471
306	746	469
307	749	467
308	751	464
309	754	462
310	757	460
311	760	457
312	762	455
313	765	453
314	768	451
315	770	448
316	773	446
317	776	444
318	778	441
319	780	439
320	783	436
321	785	434
322	788	432
323	791	430
324	794	427
325	797	425
326	799	423
327	802	420
328	805	418
329	807	416
330	810	413
331	812	411
332	815	408
333	817	406
334	820	404
335	822	401
336	825	399
337	828	397
338	831	394
339	833	392
340	836	389
341	839	387
342	841	385
343	844	383
344	847	380
345	850	378
346	853	376
347	856	373
348	858	371
349	861	369
350	863	366
351	866	364
352	869	361
353	871	359
354	874	357
355	877	354
356	880	352
357	883	350
358	886	348
359	889	345
360	891	343
361	894	340
362	897	338
363	899	336
364	902	333
365	905	331
366	907	328
367	910	326
368	912	324
369	915	321
370	918	319
371	920	316
372	923	314
373	925	311
374	928	309
375	930	307
376	933	304
377	936	302
378	938	299
379	941	297
380	943	294
381	946	292
382	949	289
383	952	287
384	954	285
385	957	282
386	960	280
387	963	278
388	966	275
389	969	273
390	972	270
391	975	268
392	977	266
393	980	263
394	983	261
395	986	258
396	988	256
397	991	254
398	993	251
399	996	249
400	999	246
401	1002	244
402	1004	241
403	1006	239
404	1009	236
405	1012	234
406	1014	231
407	1017	229
408	1020	226
409	1022	224
410	1025	222
411	1028	219
412	1031	217
413	1033	214
414	1036	212
415	1039	209
416	1041	207
417	1046	205
418	1050	203
419	1054	200
420	1057	198
421	1060	196
422	1063	193
423	1066	191
424	1069	188
425	1072	186
426	1074	183
427	1077	181
428	1080	178
429	1083	176
430	1086	173
431	1089	171
432	1091	168
433	1094	166
434	1097	163
435	1099	161
436	1102	158
437	1104	156
438	1107	153
439	1110	151
440	1112	148
441	1115	146
442	1118	143
443	1120	141
444	1123	138
445	1126	136
446	1128	133
447	1131	131
448	1133	128
449	1136	126
450	1138	123
451	1141	121
452	1144	118
453	1147	116
454	1150	113
455	1152	111
456	1155	108
457	1158	106
458	1160	103
459	1163	101
460	1165	98
461	1168	96
462	1171	93
463	1174	91
464	1176	88
465	1179	86
466	1181	83
467	1184	80
468	1186	78
469	1189	75
470	1192	73
471	1194	70
472	1197	68
473	1199	65
474	1202	63
475	1205	60
476	1208	58
477	1210	55
478	1213	53
479	1215	50
480	1218	48
481	1220	45
482	1223	43
483	1226	40
484	1228	37
485	1231	35
486	1234	32
487	1236	30
488	1239	27
489	1241	25
490	1244	22
491	1247	20
492	1250	17
493	1253	15
494	1257	12
495	1259	10
496	1262	7
497	1264	5
498	1267	2
499	1270	0
