iter	RMSE
0	6.039920052
1	5.946340146
2	5.888077057
3	5.837869468
4	5.763654505
5	5.674409273
6	5.628267437
7	5.582544593
8	5.545372516
9	5.503776086
10	5.414458906
11	5.339333547
12	5.308373307
13	5.23090043
14	5.191920598
15	5.125446708
16	5.07375577
17	5.01232977
18	4.980433061
19	4.943985613
20	4.907904165
21	4.885678341
22	4.861636997
23	4.838269096
24	4.806514813
25	4.766569806
26	4.726862746
27	4.691252337
28	4.656142512
29	4.630047557
30	4.61119906
31	4.578603585
32	4.531327161
33	4.488855129
34	4.466820302
35	4.427404435
36	4.405056685
37	4.380729187
38	4.345200692
39	4.300680497
40	4.271403619
41	4.250695622
42	4.225294401
43	4.21176578
44	4.189109605
45	4.165896532
46	4.129719952
47	4.108035796
48	4.07618715
49	4.05227202
50	4.029127196
51	4.000683644
52	3.972183139
53	3.93472805
54	3.911795743
55	3.880136528
56	3.85955058
57	3.846429836
58	3.825772186
59	3.810380617
60	3.792380428
61	3.773150233
62	3.751764061
63	3.728561896
64	3.709692761
65	3.680080662
66	3.655185956
67	3.621750132
68	3.609934772
69	3.58418432
70	3.56887958
71	3.549338701
72	3.532950539
73	3.51554617
74	3.49956964
75	3.494342128
76	3.479879779
77	3.454670017
78	3.431211803
79	3.405437639
80	3.389117707
81	3.375445718
82	3.358641959
83	3.341803586
84	3.31543844
85	3.292857989
86	3.27047997
87	3.261156375
88	3.239411768
89	3.227208575
90	3.201665266
91	3.194669881
92	3.188302583
93	3.172454986
94	3.164586888
95	3.151996084
96	3.141942659
97	3.13559724
98	3.129482808
99	3.125448514
100	3.106939614
101	3.085133219
102	3.064388358
103	3.049500012
104	3.023171525
105	3.016388598
106	3.007043834
107	3.002885593
108	2.99598132
109	2.977919912
110	2.970283073
111	2.957300688
112	2.940159872
113	2.919911062
114	2.907506379
115	2.889942939
116	2.874774885
117	2.868814938
118	2.851959731
119	2.836427518
120	2.815699736
121	2.808738809
122	2.79402084
123	2.781359199
124	2.763083552
125	2.750041136
126	2.729541094
127	2.707370182
128	2.694145611
129	2.680379208
130	2.668929567
131	2.657769069
132	2.652210561
133	2.635419015
134	2.623406744
135	2.613723142
136	2.599782484
137	2.591967986
138	2.579895052
139	2.573045226
