iter	Passed	Remaining
0	11	5657
1	19	4904
2	26	4367
3	32	4013
4	37	3722
5	43	3544
6	48	3405
7	53	3283
8	58	3203
9	63	3093
10	68	3051
11	73	3005
12	78	2938
13	83	2914
14	88	2874
15	93	2837
16	99	2816
17	104	2790
18	108	2751
19	114	2736
20	119	2729
21	124	2697
22	128	2669
23	131	2614
24	136	2589
25	140	2564
26	145	2551
27	150	2539
28	155	2518
29	159	2497
30	164	2494
31	169	2480
32	174	2462
33	179	2461
34	184	2449
35	189	2441
36	194	2434
37	199	2427
38	204	2416
39	209	2408
40	214	2405
41	219	2397
42	225	2395
43	230	2388
44	235	2379
45	241	2382
46	247	2381
47	252	2374
48	257	2366
49	263	2367
50	268	2360
51	273	2354
52	278	2347
53	283	2339
54	287	2328
55	293	2329
56	298	2321
57	303	2314
58	309	2311
59	314	2309
60	319	2298
61	324	2295
62	329	2287
63	334	2276
64	339	2270
65	344	2264
66	349	2258
67	354	2252
68	360	2251
69	365	2243
70	369	2234
71	375	2229
72	379	2221
73	384	2211
74	389	2209
75	394	2202
76	399	2195
77	404	2190
78	410	2186
79	415	2178
80	420	2177
81	425	2171
82	430	2163
83	438	2169
84	445	2174
85	451	2172
86	456	2168
87	462	2163
88	467	2157
89	472	2152
90	477	2144
91	481	2137
92	486	2130
93	491	2123
94	496	2114
95	501	2110
96	506	2105
97	511	2096
98	516	2090
99	521	2087
100	526	2081
101	531	2075
102	537	2071
103	542	2064
104	546	2055
105	551	2051
106	556	2045
107	561	2038
108	567	2035
109	571	2027
110	576	2020
111	581	2015
112	586	2009
113	591	2001
114	595	1994
115	601	1990
116	606	1983
117	611	1978
118	616	1974
119	622	1969
120	627	1964
121	632	1959
122	637	1955
123	644	1954
124	649	1949
125	654	1943
126	660	1939
127	665	1934
128	670	1929
129	675	1923
130	680	1918
131	685	1911
132	690	1906
133	696	1901
134	701	1895
135	705	1888
136	711	1885
137	716	1879
138	721	1873
139	727	1869
140	732	1865
141	737	1859
142	743	1855
143	747	1849
144	752	1841
145	757	1837
146	762	1831
147	767	1824
148	772	1819
149	777	1813
150	782	1808
151	786	1801
152	792	1797
153	797	1792
154	802	1786
155	807	1781
156	812	1774
157	816	1768
158	822	1763
159	827	1758
160	832	1753
161	838	1748
162	843	1743
163	847	1736
164	853	1732
165	859	1728
166	863	1722
167	868	1716
168	873	1711
169	878	1705
170	883	1700
171	889	1695
172	894	1690
173	899	1685
174	905	1681
175	910	1676
176	915	1671
177	921	1667
178	926	1661
179	931	1656
180	937	1652
181	942	1647
182	947	1641
183	953	1637
184	958	1631
185	963	1625
186	969	1622
187	974	1617
188	979	1611
189	984	1607
190	990	1601
191	994	1595
192	1000	1590
193	1004	1584
194	1009	1578
195	1014	1573
196	1019	1568
197	1024	1562
198	1029	1557
199	1035	1552
200	1040	1547
201	1045	1542
202	1051	1537
203	1056	1532
204	1061	1528
205	1067	1523
206	1071	1517
207	1076	1510
208	1081	1506
209	1087	1501
210	1091	1495
211	1097	1490
212	1102	1485
213	1107	1479
214	1112	1474
215	1117	1469
216	1121	1463
217	1126	1457
218	1132	1453
219	1136	1446
220	1142	1441
221	1147	1436
222	1152	1431
223	1156	1425
224	1162	1421
225	1167	1415
226	1172	1409
227	1177	1404
228	1182	1399
229	1187	1393
230	1192	1389
231	1198	1384
232	1203	1378
233	1211	1376
234	1217	1373
235	1225	1370
236	1231	1366
237	1237	1361
238	1242	1357
239	1247	1351
240	1253	1347
241	1259	1343
242	1264	1337
243	1270	1332
244	1275	1328
245	1280	1322
246	1285	1316
247	1291	1312
248	1297	1308
249	1302	1302
250	1308	1297
251	1313	1292
252	1317	1286
253	1323	1281
254	1328	1276
255	1334	1271
256	1340	1267
257	1348	1265
258	1357	1263
259	1364	1259
260	1372	1257
261	1378	1252
262	1386	1249
263	1393	1245
264	1397	1239
265	1403	1234
266	1408	1229
267	1413	1223
268	1418	1218
269	1423	1212
270	1427	1206
271	1432	1201
272	1438	1195
273	1443	1190
274	1448	1185
275	1453	1179
276	1458	1173
277	1463	1169
278	1469	1163
279	1473	1157
280	1479	1153
281	1485	1148
282	1491	1143
283	1495	1137
284	1501	1132
285	1506	1127
286	1511	1121
287	1516	1116
288	1521	1111
289	1526	1105
290	1531	1099
291	1536	1094
292	1541	1088
293	1546	1083
294	1552	1078
295	1556	1072
296	1561	1067
297	1567	1062
298	1571	1056
299	1576	1050
300	1581	1045
301	1586	1040
302	1591	1034
