Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Ecuador,"Protest for ""Guayaquil Four"" boys",24-Dec,Partly Free,"Four teenage boys (the ""Guayaquil Four"") disappeared after they were approached by soldiers.",Demand justice for missing boys. Express anger over delayed investigations into the disappearances and the alleged military involvement and over growing military presence in the streets.,>100,"General public, families of missing boys",Active,"The nationwide protests pushed authorities to restart the delayed investigation. Soon after, the four boys' charred bodies were found. A judge ordered sixteen soldiers to remain in custody while police continued their investigation.",X,,X,,,Hundreds,,,,,,Quito
Kenya,Protest against abductions of government critics,24-Dec,Partly Free,The Kenya National Commission on Human Rights reported that eighty-two government critics had allegedly been abducted by security forces since the finance bill protests in June 2024.,Denounce the extrajudicial arrests. Demand that Kenyan authorities release those who were abducted.,>100,"Human rights groups, youth",1 day,"No policy/leadership change. Though President William Ruto acknowledged that there had been instances of extrajudicial actions by authorities, he did not provide further details. A Kenyan court ruled that the police must release five men who had allegedly been abducted; however, police did not abide by the ruling.",,,X,,,Hundreds,,,,,,Nairobi
Bangladesh,March for Unity,24-Dec,Partly Free,"The Anti-Discrimination Student Movement organized a march at the Central Shaheed Minar in Dhaka. In December 2024, Foreign Affairs Adviser Md. Touhid Hossain announced that Bangladesh had sent a formal request to India to extradite former prime minister Sheikh Hasina.",Call for prosecution of Hasina and others responsible for the death of protesters in July 2024. Demand that the interim government ban the Awami League party (Hasina's party) and issue a new constitution.,">1,000",Anti-Discrimination Student Movement (student protesters),1 day,No policy/leadership change. The interim government has continued its efforts towards prosecuting Hasina and reforming the constitution.,,,X,,,Thousands,,,,,,Dhaka
Türkiye,Minimum wage protest,24-Dec,Not Free,"The Turkish government raised the monthly minimum wage for 2025 to 22,104 Turkish lira, which was a 30 percent increase from the 2024 minimum wage.","Demand greater increase in minimum wage. Frustration over cost-of-living crisis and high inflation rate, as well as government's inefficient response to the crisis. Call on government to resign.",">1,000","General public, workers",1 day,No policy/leadership change.,,X,,,,Thousands,,,,,,Ankara
Syria,Protest for religious freedom,24-Dec,Not Free,"A video posted on social media showed masked individuals burning down a Christmas tree. The video was taken in Suqaylabiyah, a Christian-majority town. Hayat Tahrir al-Sham (HTS), the main Islamist group that led the uprising against former president Bashar al-Assad, announced that they had detained the foreign fighters responsible for the arson attack.",Express anger over burning of the Christmas tree. Demand that non-Syrians leave the country. Demand rights and protection of Christians (and other religious minorities) in Syria.,>100,Christians,1 day,No policy/leadership change.,,,X,,,Hundreds,,,,,,Damascus
South Korea,Pro-Yoon protests,24-Dec,Free,"On December 14, President Yoon Suk-yeol was impeached by the National Assembly.",Criticize the National Assembly's actions. Show support for Yoon and call for his reinstatement.,">1,000",Yoon supporters,Active,No policy/leadership change.,X,,X,,,Thousands,,,,,,Seoul
Liberia,Protest against Speaker Koffa's removal,24-Dec,Partly Free,"The House of Representatives attempted to remove Speaker Jonathan Fonati Koffa, an opposition politician facing corruption allegations, from office. The decision came after months of tension between the majority and the opposition over Koffa's allegations.","Express anger over decision to remove Koffa as speaker, which protesters believe went against the constitution and the rule of law.",>100,Koffa supporters,2 days,"No policy/leadership change. On the second day of the protests, the parliament building caught fire. Though there was no proven connection between the protests and the fire, the police brought in several politicians, including Koffa, for questioning.",,,X,,,Hundreds,,,,,,Monrovia
China,Yunnan Muslims' protest,24-Dec,Not Free,"Police detained Ma Yuwei, an imam of a local mosque in the Yunnan province.","Express anger over Ma's arrest, which protesters argue was due to his religious beliefs. Demand that police release Ma from custody.",>100,Muslims in Yunnan province,2 days (approx.),No policy/leadership change.,,,X,,,Hundreds,,,,,,Beijing
Syria,Protest for political prisoners,24-Dec,Not Free,"Funeral procession of Mazen al-Hamada, a Syrian activist who was imprisoned and recently found dead in a hospital in Damascus.",Demand justice for Al-Hamada and many others who had been imprisoned during former president Bashar al-Assad's rule. Some also called for Assad to be tried or executed.,>100,General public,1 day,No policy/leadership change.,,,X,,,Hundreds,,,,,,Damascus
Romania,Election annulment protest,24-Dec,Free,The Romanian Constitutional Court annulled the 2024 presidential elections because of alleged election interference.,"Express anger over election annullment, which presidential candidate Călin Georgescu and his supporters claimed was an ""officialized coup."" Demand that run-off elections be held on the originally scheduled date.",>100,Georgescu supporters,1 day,No policy/leadership change.,,,X,,,Hundreds,,,,,,Bucharest
Bangladesh,Anti-India protests,24-Dec,Partly Free,"On December 2, Bangladesh's consulate office in Agartala, India, was attacked by a far-right Hindu group. There were also reports that Bangladeshi flags were being desecrated.",Denounce the attack on Bangladesh's consulate office and the desecration of Bangladeshi flags. Part of growing tension between India and Bangladesh since the end of former prime minister Sheikh Hasina's rule. Protesters accuse India of instigating riots in Bangladesh for their political gain.,">1,000",Bangladesh Nationalist Party youth and student groups,2 days,The Bangladeshi and Indian foreign secretaries met in Dhaka to discuss ways to reduce the growing tensions between the two countries.,,,X,,,Thousands,,,,,,Dhaka
Kenya,Protest against femicide,24-Dec,Partly Free,"Long-standing issue of femicide in Kenya. According to Kenyan police, ninety-seven women were murdered from August 2024 to October 2024.",Express frustration over government's handling of femicide. Demand that President William Ruto declare femicide a national crisis and that Parliament implement stricter laws to address gender-based violence.,>100,"Women's rights organizations, women",1 day,"Police fired tear gas to disperse protesters. On December 19, the Kenyan government announced that gender-based violence was the nation's biggest security issue. The Cabinet also approved the formation of a presidential working group to provide recommendations on how to combat gender-based violence.",,,,,X,Hundreds,X,,,,,Nairobi
Chad,Protest against French military,24-Dec,Not Free,"On November 28, 2024, the Chadian government announced that it would end its defense cooperation pact with France. However, the announcement did not specify when French troops would be leaving the country.",Express anti-French sentiments. Demand that French troops withdraw from Chad immediately.,>100,General public,1 day,President Mahamat Idriss Déby ordered French troops to withdraw from Chad by the end of January 2025. The Chadian government also established a special commission to supervise the withdrawal of French troops.,,,X,,,Hundreds,X,,,,,N'Djamena
