Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"258","'660","Anguilla","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","5.002000","5.210000","5.369000","5.503000","5.644000","5.741000","5.781000","5.796000","5.795000","5.777000","5.782000","5.822000","5.875000","5.923000","5.970000","6.018000","6.072000","6.130000","6.183000","6.238000","6.298000","6.355000","6.403000","6.447000","6.479000","6.499000","6.521000","6.543000","6.561000","6.577000","6.588000","6.604000","6.628000","6.647000","6.742000","6.955000","7.219000","7.495000","7.782000","8.090000","8.399000","8.703000","8.982000","9.228000","9.467000","9.714000","9.977000","10.254000","10.537000","10.841000","11.177000","11.472000","11.687000","11.874000","12.068000","12.267000","12.470000","12.676000","12.890000","13.114000","13.345000","13.569000","13.379000","13.252000","13.729000","14.210000","14.320000","14.425000","14.721000","14.823000","14.843000","14.475000","14.180000","14.410000","14.598000","14.728000","14.817000","14.874000","14.915000","14.947000","14.977000","15.004000","15.028000","15.046000","15.063000","15.082000","15.089000","15.078000","15.059000","15.036000","15.014000","15.001000","14.992000","14.973000","14.940000","14.893000","14.837000","14.763000","14.687000","14.624000","14.552000","14.470000","14.384000","14.297000","14.213000","14.128000","14.033000","13.931000","13.838000","13.741000","13.637000","13.536000","13.433000","13.320000","13.204000","13.097000","12.983000","12.872000","12.769000","12.658000","12.549000","12.446000","12.342000","12.239000","12.134000","12.027000","11.922000","11.816000","11.710000","11.605000","11.496000","11.391000","11.281000","11.171000","11.064000","10.954000","10.845000","10.736000","10.627000","10.518000","10.409000","10.293000","10.182000","10.077000","9.969000","9.862000","9.751000","9.637000","9.524000","9.418000","9.309000"
"258","'660","Anguilla","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","2.467000","2.568000","2.638000","2.701000","2.779000","2.803000","2.771000","2.728000","2.676000","2.615000","2.585000","2.606000","2.642000","2.674000","2.704000","2.736000","2.771000","2.807000","2.844000","2.881000","2.922000","2.961000","2.994000","3.025000","3.050000","3.072000","3.095000","3.119000","3.137000","3.151000","3.166000","3.180000","3.196000","3.209000","3.264000","3.381000","3.527000","3.680000","3.835000","3.999000","4.167000","4.329000","4.468000","4.582000","4.697000","4.814000","4.938000","5.066000","5.194000","5.336000","5.497000","5.636000","5.741000","5.832000","5.925000","6.024000","6.122000","6.220000","6.327000","6.440000","6.552000","6.662000","6.553000","6.476000","6.721000","6.966000","7.013000","7.059000","7.210000","7.256000","7.257000","7.053000","6.890000","7.003000","7.093000","7.152000","7.192000","7.216000","7.231000","7.242000","7.254000","7.264000","7.272000","7.277000","7.280000","7.286000","7.285000","7.276000","7.263000","7.251000","7.239000","7.229000","7.223000","7.213000","7.197000","7.173000","7.144000","7.106000","7.066000","7.036000","7.002000","6.965000","6.924000","6.883000","6.843000","6.802000","6.759000","6.713000","6.670000","6.625000","6.576000","6.527000","6.482000","6.430000","6.377000","6.329000","6.277000","6.229000","6.184000","6.133000","6.082000","6.037000","5.992000","5.946000","5.896000","5.848000","5.803000","5.752000","5.702000","5.652000","5.601000","5.552000","5.500000","5.449000","5.397000","5.343000","5.290000","5.237000","5.183000","5.128000","5.075000","5.019000","4.963000","4.910000","4.856000","4.801000","4.748000","4.696000","4.644000","4.593000","4.540000"
"258","'660","Anguilla","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","2.535000","2.642000","2.731000","2.801000","2.865000","2.938000","3.010000","3.067000","3.119000","3.163000","3.196000","3.216000","3.233000","3.250000","3.265000","3.281000","3.301000","3.323000","3.339000","3.357000","3.377000","3.394000","3.409000","3.422000","3.428000","3.426000","3.426000","3.424000","3.424000","3.425000","3.422000","3.424000","3.432000","3.438000","3.478000","3.573000","3.692000","3.816000","3.947000","4.090000","4.232000","4.373000","4.515000","4.646000","4.771000","4.900000","5.040000","5.188000","5.343000","5.505000","5.680000","5.835000","5.946000","6.043000","6.143000","6.243000","6.348000","6.456000","6.562000","6.673000","6.793000","6.907000","6.826000","6.776000","7.008000","7.244000","7.307000","7.365000","7.511000","7.567000","7.586000","7.421000","7.290000","7.407000","7.505000","7.575000","7.625000","7.657000","7.683000","7.705000","7.723000","7.739000","7.756000","7.769000","7.782000","7.797000","7.804000","7.802000","7.797000","7.785000","7.774000","7.771000","7.769000","7.760000","7.742000","7.720000","7.692000","7.657000","7.620000","7.588000","7.550000","7.505000","7.460000","7.415000","7.370000","7.326000","7.274000","7.218000","7.168000","7.115000","7.061000","7.008000","6.950000","6.891000","6.827000","6.768000","6.706000","6.643000","6.585000","6.524000","6.466000","6.410000","6.351000","6.293000","6.238000","6.178000","6.120000","6.064000","6.008000","5.953000","5.896000","5.839000","5.782000","5.722000","5.667000","5.612000","5.555000","5.499000","5.444000","5.390000","5.334000","5.274000","5.220000","5.167000","5.112000","5.061000","5.003000","4.941000","4.880000","4.825000","4.769000"
"258","'660","Anguilla","3010","Population - Est. & Proj.","551","Rural population","1000 No","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"258","'660","Anguilla","3010","Population - Est. & Proj.","561","Urban population","1000 No","5.118000","5.296000","5.446000","5.552000","5.640000","5.700000","5.736000","5.779000","5.807000","5.832000","5.864000","5.899000","5.946000","5.995000","6.060000","6.120000","6.167000","6.232000","6.283000","6.346000","6.403000","6.451000","6.501000","6.556000","6.596000","6.629000","6.660000","6.687000","6.709000","6.713000","6.702000","6.650000","6.588000","6.539000","6.552000","6.662000","6.875000","7.195000","7.574000","7.965000","8.334000","8.666000","8.981000","9.266000","9.537000","9.802000","10.058000","10.303000","10.548000","10.793000","11.070000","11.372000","11.692000","12.021000","12.339000","12.638000","12.903000","13.150000","13.360000","13.565000","13.769000","13.951000","14.129000","14.299000","14.459000","14.611000","14.764000","14.909000","15.045000","15.174000","15.283000","15.380000","15.456000","15.521000","15.581000","15.644000","15.692000","15.747000","15.795000","15.839000","15.867000","15.901000","15.926000","15.945000","15.962000","15.977000","15.981000","15.986000","15.984000","15.975000","15.960000","15.949000","15.929000","15.903000","15.878000","15.852000","15.819000","15.780000","15.739000","15.699000","15.649000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","'028","Antigua and Barbuda","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","45.444000","46.420000","47.397000","48.383000","49.371000","50.374000","51.382000","52.404000","53.457000","54.526000","55.603000","56.540000","57.336000","58.138000","59.020000","59.970000","60.900000","61.837000","62.809000","63.819000","64.528000","64.729000","64.615000","64.342000","64.058000","63.839000","63.762000","63.862000","64.038000","64.274000","64.513000","64.665000","64.785000","64.934000","64.882000","64.591000","64.276000","63.946000","63.623000","63.325000","63.066000","63.387000","64.404000","65.587000","66.843000","68.189000","69.612000","71.053000","72.412000","73.666000","74.912000","76.069000","77.032000","77.884000","78.719000","79.611000","80.604000","81.704000","82.912000","84.173000","85.320000","86.332000","87.260000","88.064000","88.765000","89.409000","89.969000","90.468000","90.926000","91.364000","91.846000","92.349000","92.840000","93.316000","93.772000","94.209000","94.626000","95.010000","95.368000","95.704000","96.000000","96.254000","96.484000","96.682000","96.856000","97.007000","97.109000","97.159000","97.181000","97.177000","97.133000","97.054000","96.942000","96.797000","96.621000","96.419000","96.191000","95.942000","95.674000","95.380000","95.055000","94.710000","94.349000","93.963000","93.553000","93.130000","92.719000","92.302000","91.856000","91.414000","90.969000","90.504000","90.034000","89.550000","89.055000","88.552000","88.039000","87.511000","86.966000","86.417000","85.865000","85.300000","84.716000","84.135000","83.553000","82.976000","82.395000","81.788000","81.171000","80.543000","79.913000","79.296000","78.680000","78.055000","77.429000","76.819000","76.201000","75.567000","74.948000","74.341000","73.735000","73.126000","72.517000","71.924000","71.343000","70.761000","70.184000","69.612000","69.058000","68.516000","67.975000"
"8","'028","Antigua and Barbuda","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","21.221000","21.742000","22.262000","22.788000","23.310000","23.837000","24.366000","24.901000","25.448000","26.000000","26.556000","27.038000","27.442000","27.848000","28.254000","28.651000","29.032000","29.410000","29.799000","30.210000","30.517000","30.610000","30.538000","30.384000","30.228000","30.102000","30.048000","30.088000","30.163000","30.269000","30.382000","30.448000","30.494000","30.558000","30.614000","30.639000","30.648000","30.649000","30.656000","30.683000","30.721000","30.966000","31.393000","31.806000","32.252000","32.738000","33.257000","33.795000","34.313000","34.797000","35.306000","35.809000","36.258000","36.684000","37.105000","37.553000","38.051000","38.603000","39.208000","39.839000","40.411000","40.916000","41.379000","41.777000","42.124000","42.443000","42.721000","42.969000","43.200000","43.424000","43.667000","43.919000","44.170000","44.408000","44.633000","44.849000","45.057000","45.249000","45.424000","45.593000","45.745000","45.874000","45.989000","46.089000","46.179000","46.261000","46.319000","46.352000","46.373000","46.384000","46.377000","46.355000","46.316000","46.264000","46.201000","46.126000","46.040000","45.946000","45.843000","45.732000","45.605000","45.472000","45.334000","45.188000","45.028000","44.860000","44.702000","44.539000","44.367000","44.199000","44.025000","43.840000","43.654000","43.465000","43.266000","43.057000","42.847000","42.631000","42.403000","42.168000","41.929000","41.687000","41.432000","41.176000","40.916000","40.657000","40.398000","40.123000","39.843000","39.559000","39.269000","38.983000","38.697000","38.407000","38.119000","37.837000","37.548000","37.249000","36.960000","36.675000","36.389000","36.101000","35.816000","35.538000","35.261000","34.983000","34.711000","34.438000","34.173000","33.913000","33.653000"
"8","'028","Antigua and Barbuda","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","24.223000","24.677000","25.135000","25.595000","26.061000","26.537000","27.015000","27.503000","28.009000","28.526000","29.047000","29.502000","29.893000","30.291000","30.767000","31.319000","31.868000","32.428000","33.010000","33.608000","34.010000","34.118000","34.077000","33.958000","33.831000","33.737000","33.714000","33.774000","33.875000","34.005000","34.130000","34.217000","34.291000","34.377000","34.269000","33.952000","33.628000","33.297000","32.967000","32.642000","32.346000","32.420000","33.011000","33.781000","34.590000","35.450000","36.355000","37.258000","38.099000","38.870000","39.605000","40.260000","40.773000","41.200000","41.614000","42.058000","42.553000","43.101000","43.704000","44.334000","44.910000","45.416000","45.881000","46.288000","46.641000","46.966000","47.248000","47.498000","47.726000","47.940000","48.178000","48.429000","48.670000","48.907000","49.139000","49.359000","49.568000","49.761000","49.944000","50.111000","50.255000","50.380000","50.495000","50.593000","50.676000","50.747000","50.789000","50.807000","50.808000","50.792000","50.757000","50.700000","50.627000","50.534000","50.420000","50.294000","50.151000","49.997000","49.831000","49.648000","49.450000","49.237000","49.014000","48.775000","48.526000","48.270000","48.017000","47.763000","47.488000","47.215000","46.945000","46.663000","46.380000","46.086000","45.789000","45.495000","45.192000","44.880000","44.563000","44.249000","43.935000","43.614000","43.283000","42.959000","42.637000","42.319000","41.998000","41.666000","41.328000","40.984000","40.644000","40.313000","39.983000","39.648000","39.310000","38.981000","38.653000","38.318000","37.988000","37.666000","37.346000","37.025000","36.700000","36.386000","36.082000","35.779000","35.474000","35.173000","34.885000","34.602000","34.322000"
"8","'028","Antigua and Barbuda","3010","Population - Est. & Proj.","551","Rural population","1000 No","32.382000","33.372000","34.024000","34.389000","34.512000","34.442000","34.243000","33.963000","33.658000","33.385000","33.394000","34.225000","35.185000","36.249000","37.375000","38.529000","39.710000","40.919000","42.137000","43.339000","44.406000","45.074000","45.672000","46.203000","46.682000","47.106000","47.493000","47.823000","48.058000","48.133000","48.018000","47.713000","47.251000","46.666000","46.013000","45.344000","44.656000","43.975000","43.411000","43.078000","43.068000","43.437000","44.419000","45.663000","47.095000","48.617000","50.225000","51.913000","53.616000","55.244000","56.731000","58.060000","59.439000","60.700000","61.924000","63.175000","64.469000","65.792000","67.134000","68.485000","69.824000","71.116000","72.074000","73.026000","73.984000","74.942000","75.878000","76.802000","77.700000","78.577000","79.428000","80.252000","81.058000","81.825000","82.567000","83.271000","83.939000","84.568000","85.157000","85.706000","86.200000","86.659000","87.067000","87.422000","87.728000","87.984000","88.189000","88.335000","88.427000","88.467000","88.453000","88.377000","88.268000","88.129000","87.963000","87.778000","87.555000","87.308000","87.036000","86.740000","86.424000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","'028","Antigua and Barbuda","3010","Population - Est. & Proj.","561","Urban population","1000 No","13.921000","14.993000","15.975000","16.873000","17.696000","18.455000","19.177000","19.875000","20.583000","21.337000","21.945000","21.919000","21.959000","22.045000","22.149000","22.252000","22.349000","22.441000","22.518000","22.571000","22.692000","23.114000","23.504000","23.863000","24.196000","24.503000","24.792000","25.052000","25.266000","25.395000","25.424000","25.353000","25.197000","24.973000","24.712000","24.438000","24.153000","23.870000","23.647000","23.549000","23.628000","23.870000","24.008000","24.275000","24.624000","25.002000","25.403000","25.826000","26.235000","26.587000","26.853000","26.997000","26.827000","26.593000","26.333000","26.078000","25.832000","25.589000","25.344000","25.096000","24.837000","24.603000","24.703000","24.798000","24.891000","24.981000","25.085000","25.210000","25.350000","25.507000","25.682000","25.873000","26.086000","26.313000","26.559000","26.823000","27.104000","27.403000","27.720000","28.057000","28.408000","28.783000","29.175000","29.586000","30.016000","30.468000","30.942000","31.435000","31.950000","32.488000","33.050000","33.633000","34.214000","34.793000","35.371000","35.951000","36.524000","37.096000","37.665000","38.233000","38.799000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
