Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"10","'036","Australia","221","'01371","Almonds, in shell","5312","Area harvested","ha",,,,,,,,,,,,,,,,,,,,"1430.000000","1450.000000","1480.000000","1560.000000","1700.000000","1950.000000","2300.000000","2400.000000","2600.000000","2900.000000","3000.000000","3100.000000","3900.000000","4600.000000","4670.000000","4700.000000","4730.000000","4800.000000","4850.000000","5000.000000","5840.000000","2157.000000","2727.000000","3555.000000","5053.000000","5580.000000","6978.000000","9376.000000","12013.000000","17465.000000","23797.000000","25666.000000","26058.000000","28586.000000","28060.000000","28190.000000","28553.000000","29282.000000","31361.000000","37903.000000","47239.000000","51971.000000","56525.000000","40856.000000"
"10","'036","Australia","221","'01371","Almonds, in shell","5412","Yield","kg/ha",,,,,,,,,,,,,,,,,,,,"2447.600000","2241.400000","2331.100000","2307.700000","2176.500000","2051.300000","2130.400000","1875.000000","1884.600000","1724.100000","1666.700000","2903.200000","2435.900000","2173.900000","2355.500000","2659.600000","2748.400000","3125.000000","3608.200000","3600.000000","3595.900000","9318.500000","7554.100000","6244.700000","5006.900000","6379.900000","5015.800000","6239.300000","4778.200000","4603.500000","3618.100000","3230.000000","4190.700000","5653.100000","5433.700000","5509.000000","6117.000000","6351.300000","5516.400000","5593.200000","5461.600000","6080.300000","6457.300000","6363.800000"
"10","'036","Australia","221","'01371","Almonds, in shell","5510","Production","t",,,,,,,,,,,,,,,,,,,,"3500.000000","3250.000000","3450.000000","3600.000000","3700.000000","4000.000000","4900.000000","4500.000000","4900.000000","5000.000000","5000.000000","9000.000000","9500.000000","10000.000000","11000.000000","12500.000000","13000.000000","15000.000000","17500.000000","18000.000000","21000.000000","20100.000000","20600.000000","22200.000000","25300.000000","35600.000000","35000.000000","58500.000000","57400.000000","80400.000000","86100.000000","82900.000000","109200.000000","161600.000000","152470.000000","155300.000000","174660.000000","185980.000000","173000.000000","212000.000000","258000.000000","316000.000000","365000.000000","260000.000000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5312","Area harvested","ha",,,,,,,,,,,,,,,,,,,,,,,"21.000000","20.000000","25.000000","1994.000000","2270.000000","2796.000000","3259.000000","1073.000000","1666.000000","2137.000000","3938.000000","5390.000000","2585.000000","984.000000","1998.000000","3903.000000","3080.000000","894.000000","310.000000","19.000000","132.000000","455.000000","386.000000","752.000000","127.000000","1540.000000","710.000000","684.000000","914.000000","1015.000000","1040.000000","989.000000","989.000000","1006.000000","995.000000","958.000000","986.000000","991.000000","978.000000","985.000000","985.000000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5412","Yield","kg/ha",,,,,,,,,,,,,,,,,,,,,,,"4809.500000","3650.000000","3640.000000","1154.000000","994.300000","1033.300000","1131.900000","1244.200000","1515.600000","1500.200000","959.100000","464.200000","674.300000","1180.900000","1271.300000","921.300000","997.400000","668.900000","1106.500000","1736.800000","856.100000","879.100000","1479.300000","1581.100000","401.600000","1357.800000","1390.100000","1185.300000","1137.000000","1148.800000","1155.000000","1159.200000","1160.000000","1158.000000","1159.100000","1162.400000","1159.800000","1167.200000","1163.100000","1163.400000","1164.600000"
"10","'036","Australia","711","'01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","5510","Production","t",,,,,,,,,,,,,,,,,,,,,,,"101.000000","73.000000","91.000000","2301.000000","2257.000000","2889.000000","3689.000000","1335.000000","2525.000000","3206.000000","3777.000000","2502.000000","1743.000000","1162.000000","2540.000000","3596.000000","3072.000000","598.000000","343.000000","33.000000","113.000000","400.000000","571.000000","1189.000000","51.000000","2091.000000","987.000000","810.190000","1039.380000","1166.210000","1200.690000","1146.060000","1147.690000","1164.810000","1152.850000","1113.170000","1143.610000","1156.900000","1137.890000","1146.140000","1146.980000"
"10","'036","Australia","515","'01341","Apples","5312","Area harvested","ha","26656.000000","26658.000000","27473.000000","27794.000000","28722.000000","28778.000000","28818.000000","28408.000000","28911.000000","29127.000000","29219.000000","29138.000000","26200.000000","23100.000000","21000.000000","19560.000000","18680.000000","17800.000000","17890.000000","18340.000000","18300.000000","18200.000000","18300.000000","18200.000000","18440.000000","19200.000000","19100.000000","19130.000000","19764.000000","21100.000000","20400.000000","19700.000000","19700.000000","19720.000000","19750.000000","19750.000000","19755.000000","19760.000000","19760.000000","19700.000000","25000.000000","22000.000000","21000.000000","20500.000000","20500.000000","20000.000000","20000.000000","16441.000000","22000.000000","16792.000000","18790.000000","18056.000000","18015.000000","16704.000000","18508.000000","19315.000000","19647.000000","16830.000000","16636.000000","16529.000000","17953.000000","18943.000000","17982.000000"
"10","'036","Australia","515","'01341","Apples","5412","Yield","kg/ha","11068.200000","12239.600000","12724.200000","13218.600000","12534.000000","13096.000000","12836.600000","13154.300000","14611.900000","14558.900000","15148.900000","12360.700000","16273.400000","14342.100000","17275.100000","14050.700000","16143.000000","14514.600000","19281.600000","16292.900000","16771.600000","16180.000000","16438.500000","14670.200000","19088.900000","15000.000000","17002.100000","15672.100000","16345.100000","15137.600000","14153.400000","16045.700000","16639.200000","15563.900000","16028.100000","14184.700000","17872.400000","15630.400000","16920.700000","16226.000000","12106.700000","13193.800000","15527.200000","13916.200000","22080.500000","15062.600000","18899.000000","16147.400000","13415.200000","15745.700000","15954.500000","16009.100000","16035.000000","15970.700000","15949.900000","15961.700000","15968.600000","15945.000000","15938.400000","15909.100000","15869.300000","15864.200000","15859.100000"
"10","'036","Australia","515","'01341","Apples","5510","Production","t","295034.000000","326282.000000","349571.000000","367397.000000","360002.000000","376878.000000","369924.000000","373688.000000","422445.000000","424057.000000","442636.000000","360167.000000","426362.000000","331302.000000","362778.000000","274831.000000","301551.000000","258360.000000","344948.000000","298812.000000","306921.000000","294476.000000","300825.000000","266998.000000","352000.000000","288000.000000","324741.000000","299807.000000","323045.000000","319403.000000","288730.000000","316101.000000","327792.000000","306920.000000","316555.000000","280147.000000","353069.000000","308856.000000","334353.000000","319652.000000","302668.000000","290264.000000","326072.000000","285282.000000","452650.000000","301251.000000","377980.000000","265481.000000","295134.000000","264401.000000","299778.000000","289064.000000","288878.000000","266771.000000","295196.000000","308298.000000","313730.000000","268355.000000","265150.000000","262965.520000","284896.510000","300518.140000","285176.000000"
"10","'036","Australia","526","'01343","Apricots","5312","Area harvested","ha","3794.000000","3794.000000","4005.000000","4059.000000","3790.000000","3793.000000","3829.000000","3590.000000","3532.000000","3430.000000","3440.000000","3440.000000","3340.000000","3110.000000","2820.000000","2630.000000","2420.000000","2390.000000","2360.000000","2370.000000","2350.000000","2330.000000","2260.000000","2330.000000","2380.000000","2200.000000","2300.000000","2510.000000","2720.000000","2950.000000","2850.000000","2870.000000","3020.000000","3280.000000","3310.000000","3330.000000","3370.000000","2884.000000","3319.000000","3100.000000","3675.000000","3000.000000","3100.000000","2332.000000","4863.000000","6000.000000","5283.000000","5578.000000","5007.000000","5318.000000","6350.000000","6300.000000","6320.000000","6250.000000","7796.000000","6105.000000","4000.000000","6992.000000","4500.000000","5605.000000","5413.000000","4685.000000","2571.000000"
"10","'036","Australia","526","'01343","Apricots","5412","Yield","kg/ha","10725.100000","10725.100000","10402.200000","8633.700000","11306.900000","10204.600000","13677.200000","9209.500000","12353.900000","11518.700000","15349.400000","13578.200000","13157.800000","12125.100000","9953.500000","9962.700000","11050.000000","10390.800000","13156.400000","11119.400000","13030.200000","11616.700000","11880.500000","10128.800000","10287.800000","12727.300000","11530.000000","11296.800000","10273.900000","10062.700000","8853.000000","11063.400000","9756.000000","6463.400000","8988.800000","6498.500000","7691.400000","6894.300000","6472.600000","6411.300000","5616.200000","4118.300000","6368.400000","4570.100000","4050.400000","2820.000000","3279.700000","3047.700000","2730.900000","2477.500000","2091.800000","1934.300000","1827.700000","1477.900000","1243.800000","1425.000000","1337.800000","1258.700000","1861.600000","1111.200000","1008.300000","1025.200000","970.400000"
"10","'036","Australia","526","'01343","Apricots","5510","Production","t","40691.000000","40691.000000","41661.000000","35044.000000","42853.000000","38706.000000","52370.000000","33062.000000","43634.000000","39509.000000","52802.000000","46709.000000","43947.000000","37709.000000","28069.000000","26202.000000","26741.000000","24834.000000","31049.000000","26353.000000","30621.000000","27067.000000","26850.000000","23600.000000","24485.000000","28000.000000","26519.000000","28355.000000","27945.000000","29685.000000","25231.000000","31752.000000","29463.000000","21200.000000","29753.000000","21640.000000","25920.000000","19881.000000","21483.000000","19875.000000","20639.000000","12355.000000","19742.000000","10658.000000","19698.000000","16920.000000","17327.000000","17000.000000","13673.000000","13174.770000","13283.000000","12186.080000","11550.880000","9237.040000","9696.540000","8700.000000","5351.000000","8801.000000","8377.000000","6227.760000","5458.170000","4803.530000","2495.000000"
"10","'036","Australia","367","'01211","Asparagus","5312","Area harvested","ha","1321.000000","1426.000000","1616.000000","1646.000000","1609.000000","1711.000000","1746.000000","1679.000000","1657.000000","1876.000000","1991.000000","2450.000000","2015.000000","1798.000000","2289.000000","1637.000000","1466.000000","1470.000000","1279.000000","1100.000000","950.000000","1078.000000","973.000000","1165.000000","1470.000000","1650.000000","1816.000000","1967.000000","1811.000000","1424.000000","1550.000000","1519.000000","1600.000000","1700.000000","1785.000000","1877.000000","2139.000000","2005.000000","2143.000000","2997.000000","2406.000000","2363.000000","2286.000000","2245.000000","2304.000000","2056.000000","1302.000000","1604.000000","1616.000000","1787.000000","2072.000000","1776.000000","1732.000000","1675.000000","1629.000000","1572.000000","1530.000000","1489.000000","1446.000000","1403.000000","1371.000000","1310.000000","1034.000000"
"10","'036","Australia","367","'01211","Asparagus","5412","Yield","kg/ha","3983.300000","3920.800000","3896.000000","3327.500000","3762.000000","3430.200000","4321.900000","3793.900000","3188.900000","2812.900000","3370.700000","2757.600000","2737.500000","2572.900000","1990.000000","2696.400000","2907.200000","3116.300000","3720.100000","3636.400000","4210.500000","2962.000000","3616.600000","5630.900000","3168.700000","2648.500000","3383.800000","3039.100000","3184.400000","4572.300000","3867.700000","4032.300000","3875.000000","4097.300000","3482.400000","3950.500000","3685.800000","4987.500000","4640.200000","5473.500000","5198.700000","5903.500000","5346.900000","4617.400000","4901.500000","4735.900000","4308.000000","6096.600000","4319.900000","4943.400000","4959.500000","5036.800000","5056.900000","5077.800000","5099.300000","5089.000000","5098.900000","5110.900000","5172.800000","5164.800000","5111.300000","5117.400000","5123.800000"
"10","'036","Australia","367","'01211","Asparagus","5510","Production","t","5262.000000","5591.000000","6296.000000","5477.000000","6053.000000","5869.000000","7546.000000","6370.000000","5284.000000","5277.000000","6711.000000","6756.000000","5516.000000","4626.000000","4555.000000","4414.000000","4262.000000","4581.000000","4758.000000","4000.000000","4000.000000","3193.000000","3519.000000","6560.000000","4658.000000","4370.000000","6145.000000","5978.000000","5767.000000","6511.000000","5995.000000","6125.000000","6200.000000","6965.340000","6216.000000","7415.000000","7884.000000","10000.000000","9943.960000","16404.000000","12508.000000","13950.000000","12223.000000","10366.000000","11293.000000","9737.000000","5609.000000","9779.000000","6981.000000","8835.490000","10276.000000","8943.350000","8760.330000","8503.890000","8307.530000","7999.710000","7799.140000","7609.970000","7478.960000","7245.290000","7008.670000","6702.550000","5296.000000"
"10","'036","Australia","1107","'02132","Asses","5111","Stocks","An","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","5000.000000","4800.000000","4500.000000","4500.000000","4500.000000","4500.000000","4500.000000","4500.000000","4500.000000","2213.000000","1401.000000","1863.000000","2310.000000","2638.000000","3378.000000","2438.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","2000.000000","1960.000000","1913.000000","1887.000000","1872.000000","1865.000000","1878.000000","1883.000000","1876.000000","1869.000000"
"10","'036","Australia","572","'01311","Avocados","5312","Area harvested","ha",,,,,,,,,,,,,,,,,,,,,,,,,"2700.000000","3000.000000","3000.000000","3100.000000","3100.000000","2900.000000","3000.000000","3200.000000","3196.000000","3500.000000","3900.000000","4100.000000","5000.000000","4884.000000","6000.000000","5596.000000","6500.000000","6000.000000","8000.000000","8798.000000","7000.000000","7200.000000","9800.000000","9642.000000","8555.000000","10003.000000","9500.000000","10000.000000","11000.000000","9000.000000","10412.000000","14427.000000","12086.000000","13473.000000","16218.000000","15185.000000","16376.000000","17892.000000","19137.000000"
"10","'036","Australia","572","'01311","Avocados","5412","Yield","kg/ha",,,,,,,,,,,,,,,,,,,,,,,,,"2592.600000","3233.300000","3266.000000","3574.800000","3681.900000","4139.700000","3847.300000","4039.100000","4044.100000","4000.000000","4010.300000","4003.900000","4014.400000","4130.500000","4051.800000","4284.800000","4589.800000","4747.500000","5066.400000","4762.300000","4662.000000","4785.000000","4820.200000","4667.100000","4497.600000","4247.500000","3823.700000","4895.100000","4816.500000","4885.400000","4744.100000","4685.500000","4674.800000","4712.200000","4904.000000","5090.200000","5250.700000","5418.300000","6029.500000"
"10","'036","Australia","572","'01311","Avocados","5510","Production","t","400.000000","400.000000","500.000000","500.000000","600.000000","600.000000","700.000000","700.000000","800.000000","800.000000","900.000000","941.000000","688.000000","664.000000","710.000000","570.000000","662.000000","980.000000","1400.000000","1700.000000","2400.000000","3400.000000","5400.000000","6200.000000","7000.000000","9700.000000","9798.000000","11082.000000","11414.000000","12005.000000","11542.000000","12925.000000","12925.000000","14000.000000","15640.000000","16416.000000","20072.000000","20174.000000","24311.000000","23976.000000","29834.000000","28485.000000","40531.000000","41897.000000","32634.000000","34452.000000","47238.000000","45000.000000","38478.000000","42485.570000","36325.000000","48951.000000","52982.000000","43969.000000","49397.000000","67600.000000","56501.000000","63486.000000","79533.000000","77295.290000","85986.230000","96946.540000","115384.840000"
"10","'036","Australia","486","'01312","Bananas","5312","Area harvested","ha","10353.000000","10353.000000","10971.000000","10845.000000","9792.000000","9411.000000","9130.000000","9354.000000","9457.000000","9420.000000","9409.000000","9027.000000","8593.000000","8075.000000","7280.000000","6875.000000","6679.000000","6148.000000","6878.000000","7109.000000","7603.000000","7571.000000","7844.000000","8129.000000","7832.000000","7659.000000","7769.000000","7969.000000","7941.000000","7924.000000","7962.000000","8159.000000","8656.000000","8756.000000","8281.000000","8893.000000","9589.000000","10478.000000","11405.000000","13436.000000","11737.000000","12583.000000","10659.000000","10861.000000","10361.000000","11168.000000","11662.000000","9853.000000","11992.000000","11543.000000","11196.000000","13496.000000","14218.000000","12085.000000","11788.000000","16612.000000","14021.000000","12477.000000","10962.000000","12254.000000","11874.000000","9133.000000","12686.000000"
"10","'036","Australia","486","'01312","Bananas","5412","Yield","kg/ha","11964.000000","11964.000000","11188.100000","12469.000000","13043.200000","12670.400000","13634.100000","13971.300000","13268.600000","13913.900000","14091.300000","14161.300000","12172.700000","13101.800000","13720.700000","15015.700000","17227.400000","15908.900000","16448.400000","17600.600000","16354.200000","17115.600000","17909.400000","18012.400000","18484.900000","17332.700000","20301.200000","20095.000000","24652.100000","22752.400000","20730.600000","21682.300000","24712.100000","25036.800000","25130.100000","24743.800000","20813.500000","21278.600000","19742.800000","19117.800000","30534.900000","24899.800000","24840.200000","23684.500000","25631.700000","16778.700000","18281.000000","21015.000000","22547.800000","26178.000000","18109.200000","21157.000000","23233.900000","21057.000000","21379.700000","21324.400000","29454.000000","29969.600000","28293.600000","30393.300000","29143.300000","30751.000000","29500.900000"
